OBJECTID,SITEREF,BOUNDNUM,OBJID,SITESORT,BOUNDREF,SITEALIAS,SITEADDRESS,SITEYRDESCRIPTION,SUITTYPE,SITEYRSUITCOMMENTS,AVLTYPE,SITEYRAVLBTYCOMMENTS,ACHTYPE,SITEYRACHCOMMENTS,SAPSTATUS,SAPREF,TOTALSHT,TOTALMED,TOTALLNG,TOTALIPP,TOTALOPP,SHLTOT,YR19_20,YR20_21,YR21_22,YR22_23,YR23_24,YR24_25,YR25_26,YR26_27,YR27_28,YR28_29,YR29_30,YR30_31,YR31_32,YR32_33,YR33_34,YR34_35,YR35_36,LCCOWN,SHLVERSIONREF,SHLAAYEAR,SHLAAYRVERSION,HMCAMAX,WARDMAX,Shape__Area,Shape__Length,SAPCAP
1,SHL00650,SHL006501,283,1273,SHL006501,1273,"Land North And West Of New Farnley,",The site is agricultural land on the north western edge of New Farnley. The site is located in the Green Belt. The northern part of the site is in a Special Landscape Area and Urban Fringe Priority Zone.,LDF to determine,Site not adopted within the Site Allocations Plan for housing in the current plan period. Suitability of the location will be considered as part of a future review of the Site Allocations Plan if new sites are required to meet up-to-date housing needs.,Beyond 2033,Site submitted to the SHLAA process as available for development.,Beyond 2033,The site is recorded in the 2023 SHLAA update as available with the assessment of delivery beyond the plan period to that reflect the suitability of the location as at 1 April 2023.  The delivery of the site is dependent upon any future assessment on the policy status of the location to meet up-to-date housing needs that will be taken into account as part of SHLAA assessments and Leeds Local Plan 2040.,Not allocated for housing,,0,0,0,0,407,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,0,0,0,Beyond 2033,2024,1,Outer West,Farnley & Wortley,0,0,407
4,SHL01916,SHL019161,1003,5372.2,SHL019161,5372B,Parlington B,,LDF to determine,Site not adopted within the Site Allocations Plan for housing in the current plan period. Suitability of the location will be considered as part of a future review of the Site Allocations Plan if new sites are required to meet up-to-date housing needs.,Beyond 2033,Site submitted to the SHLAA process as available for development.,Beyond 2033,The site is recorded in the 2023 SHLAA update as available with the assessment of delivery beyond the plan period to that reflect the suitability of the location as at 1 April 2023.  The delivery of the site is dependent upon any future assessment on the policy status of the location to meet up-to-date housing needs that will be taken into account as part of SHLAA assessments and Leeds Local Plan 2040.,Not allocated for housing,xBL1-42,0,0,0,0,1058,1058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1058,0,0,0,Beyond 2033,2024,1,Outer North East,Harewood,0,0,1058
5,SHL01781,SHL017811,932,5302,SHL017811,5302,"The Grange, opposite 'jaw bones' junction, Wakefield Road, Rothwell",,LDF to determine,Site not adopted within the Site Allocations Plan for housing in the current plan period. Suitability of the location will be considered as part of a future review of the Site Allocations Plan if new sites are required to meet up-to-date housing needs.,Beyond 2033,Site submitted to the SHLAA process as available for development.,Beyond 2033,The site is recorded in the 2023 SHLAA update as available with the assessment of delivery beyond the plan period to that reflect the suitability of the location as at 1 April 2023.  The delivery of the site is dependent upon any future assessment on the policy status of the location to meet up-to-date housing needs that will be taken into account as part of SHLAA assessments and Leeds Local Plan 2040.,Not allocated for housing,,0,0,0,0,227,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,Beyond 2033,2024,1,Outer South,Rothwell,0,0,227
8,SHL00901,SHL009011,433,3028,SHL009011,3028,"Kelcliffe Mount/west View, Kelcliffe Lane, Guiseley, LS20 9DE","Substantial site to the rear of properties on Kelcliffe Lane and The Poplars. Site rises up above the existing residential areas, before becoming flat to the north.  West side drops steeply to new development, and has significant tree cover and recreational value. Remainder of the site is largely in agricultural use, with little tree cover.",LDF to determine,Site not adopted within the Site Allocations Plan for housing in the current plan period. Suitability of the location will be considered as part of a future review of the Site Allocations Plan if new sites are required to meet up-to-date housing needs.,Beyond 2033,Site submitted to the SHLAA process as available for development.,Beyond 2033,The site is recorded in the 2023 SHLAA update as available with the assessment of delivery beyond the plan period to that reflect the suitability of the location as at 1 April 2023.  The delivery of the site is dependent upon any future assessment on the policy status of the location to meet up-to-date housing needs that will be taken into account as part of SHLAA assessments and Leeds Local Plan 2040.,Not allocated for housing,,0,0,0,0,396,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,0,0,0,Beyond 2033,2024,1,Aireborough,Guiseley & Rawdon,0,0,396
11,SHL00848,SHL008482,400,2134,SHL008482,2134,East Of Scholes,Located to the East of Scholes the site is predominantly agricultural land.    Green Belt land lies to the East of the site.,LDF to determine,Site not adopted within the Site Allocations Plan for housing in the current plan period. Suitability of the location will be considered as part of a future review of the Site Allocations Plan if new sites are required to meet up-to-date housing needs.,Beyond 2033,Site submitted to the SHLAA process as available for development.,Beyond 2033,The site is recorded in the 2023 SHLAA update as available with the assessment of delivery beyond the plan period to that reflect the suitability of the location as at 1 April 2023.  The delivery of the site is dependent upon any future assessment on the policy status of the location to meet up-to-date housing needs that will be taken into account as part of SHLAA assessments and Leeds Local Plan 2040.,Safeguarded land (PAS),HG3-13,0,0,0,0,850,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850,0,0,0,Beyond 2033,2024,1,Outer North East,Harewood,0,0,850
14,SHL00655,SHL006551,287,1278,SHL006551,1278,"Symphony Group ,gelderd Road, LS12",Site on large industrial estate. Believe sheds to be empty. Other parts of site are on derelict land. There is some residential to the north of the area but this area is predomionantly industrial.,LDF to determine,Site not adopted within the Site Allocations Plan for housing in the current plan period. Suitability of the location will be considered as part of a future review of the Site Allocations Plan if new sites are required to meet up-to-date housing needs.,Beyond 2033,Site submitted to the SHLAA process as available for development.,Beyond 2033,The site is recorded in the 2023 SHLAA update as available with the assessment of delivery beyond the plan period to that reflect the suitability of the location as at 1 April 2023.  The delivery of the site is dependent upon any future assessment on the policy status of the location to meet up-to-date housing needs that will be taken into account as part of SHLAA assessments and Leeds Local Plan 2040.,Not allocated for housing,,0,0,0,0,195,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,Beyond 2033,2024,1,Inner Area,Beeston & Holbeck,0,0,195
16,SHL01601,SHL016011,814,3100.1,SHL016011,3100A,"Whitehouse Lane, Swillington","Greenfield site in Great Preston. Well connected to built up area with houses to east and west. Fields to north. Very steep sloping, and a significant amount of tree planting.",LDF to determine,Site not adopted within the Site Allocations Plan for housing in the current plan period. Suitability of the location will be considered as part of a future review of the Site Allocations Plan if new sites are required to meet up-to-date housing needs.,Beyond 2033,Site submitted to the SHLAA process as available for development.,Beyond 2033,The site is recorded in the 2023 SHLAA update as available with the assessment of delivery beyond the plan period to that reflect the suitability of the location as at 1 April 2023.  The delivery of the site is dependent upon any future assessment on the policy status of the location to meet up-to-date housing needs that will be taken into account as part of SHLAA assessments and Leeds Local Plan 2040.,Not allocated for housing,,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,Beyond 2033,2024,1,Outer South East,Garforth & Swillington,0,0,70
17,SHL01197,SHL011971,570,3465,SHL011971,3465,"Land Off Leadwell Lane, Robin Hood/rothwell, LS26 0","Linear greenfield site to the west of Rothwell, and east of Robin Hood. There is residential to the east, otherwise the site is surrounded by countryside.",LDF to determine,Site not adopted within the Site Allocations Plan for housing in the current plan period. Suitability of the location will be considered as part of a future review of the Site Allocations Plan if new sites are required to meet up-to-date housing needs.,Beyond 2033,Site submitted to the SHLAA process as available for development.,Beyond 2033,The site is recorded in the 2023 SHLAA update as available with the assessment of delivery beyond the plan period to that reflect the suitability of the location as at 1 April 2023.  The delivery of the site is dependent upon any future assessment on the policy status of the location to meet up-to-date housing needs that will be taken into account as part of SHLAA assessments and Leeds Local Plan 2040.,Not allocated for housing,,0,0,0,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,Beyond 2033,2024,1,Outer South,Rothwell,0,0,33
20,SHL01942,SHL019421,1020,5442,SHL019421,5442,"Leeds College Of Building, The Millwright Building, Millwright Street, Sheepscar","The site is close to Regent Street, a busy road connecting the City Centre to the north of the City with good access to public transport and walking routes into the City Centre. The residential area of Lincoln Green lies to the east of the site beyond Mabgate and Skinner Lane.",Suitable,Site obtained detailed planning permission under 18/01805/FU and is under construction as at 1st April 2023.,Short (=<5 yrs),Site is under construction as at 1st April 2023.,Short (=<5yrs),Site is under construction as at 1st April 2023.,Not adopted,n/a,136,0,0,136,0,136,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,Under construction,2024,1,Inner Area,Little London & Woodhouse,0,0,
21,SHL00900,SHL009001,432,3026,SHL009001,3026,Land Between Mire Beck And Ings Lane,"Large site predominantly located between Mire Beck (Moorland Crescent) and Lings Lane, and stretching north along and across railway line to Buckle Lane. Bounded by flood zone in North west. Green Belt site.",LDF to determine,"Green Belt site released as part of the adoption of the Site Allocations Plan under HG2-1 on 10th July 2019.  Post adoption, Green Belt releases were the subject of a Legal Challenge submitted to the High Court on 20 August 2019. The case was heard at the High Court in February 2020 with Judgment being handed down on 8 June 2020. The High Court ordered relief.  The effect of this relief is that allocated sites that immediately before the adoption of the SAP were in the Green Belt including this site be remitted back to the Secretary of State and the Planning Inspectorate for further examination",Beyond 2033,Site was submitted to the SHLAA process and progressed as part of the Site Allocations Plan as available for development.,Beyond 2033,The delivery of the site is dependent upon the re-examination of the policy status of the location.  Any future delivery is dependent upon the requirement for Green Belt sites be released to meet up-to-date housing needs taking into account the current land supply picture as part of SHLAA assessments.,Remitted to Secretary of State,HG2-1,0,0,0,0,160,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,Beyond 2033,2024,1,Aireborough,Guiseley & Rawdon,0,0,160
